PGEN_.00g000010::Scaffold_01:2-4719	lcl|NC_047561.1_prot_XP_034327014.1_14848	1.83e-05
PGEN_.00g000020::Scaffold_01:19808-36739	lcl|NC_047568.1_prot_XP_034310977.1_52469	2.68e-20
PGEN_.00g000030::Scaffold_01:49248-52578	lcl|NC_047565.1_prot_XP_034301456.1_43412	1.23e-21
PGEN_.00g000040::Scaffold_01:55792-67546	lcl|NC_047561.1_prot_XP_034322884.1_14909	1.44e-26
PGEN_.00g000050::Scaffold_01:67586-69113	lcl|NC_047562.1_prot_XP_034328065.1_20987	8.86e-52
PGEN_.00g000060::Scaffold_01:70713-81099	lcl|NC_047561.1_prot_XP_034323596.1_15744	8.69e-15
PGEN_.00g000070::Scaffold_01:183686-186073	lcl|NC_047560.1_prot_XP_034322381.1_8094	0.0
PGEN_.00g000080::Scaffold_01:187328-188353	lcl|NW_022994853.1_prot_XP_034316403.1_60749	2.99e-15
PGEN_.00g000090::Scaffold_01:189849-190460	lcl|NC_047564.1_prot_XP_034299191.1_31676	3.81e-46
PGEN_.00g000100::Scaffold_01:191069-191410	lcl|NC_047562.1_prot_XP_019924957.2_22509	1.3
PGEN_.00g000110::Scaffold_01:191836-192282	lcl|NC_047561.1_prot_XP_011441625.2_16060	3.69e-04
PGEN_.00g000120::Scaffold_01:192526-193324	lcl|NC_047564.1_prot_XP_011424688.2_36461	1.61e-58
PGEN_.00g000130::Scaffold_01:194601-195002	lcl|NC_047562.1_prot_XP_034328531.1_19110	0.20
PGEN_.00g000140::Scaffold_01:195061-196757	lcl|NC_047560.1_prot_XP_034318752.1_10577	0.0
PGEN_.00g000150::Scaffold_01:196813-197325	lcl|NW_022994851.1_prot_XP_034316375.1_60727	1.29e-38
PGEN_.00g000160::Scaffold_01:197831-198256	lcl|NC_047560.1_prot_XP_034319216.1_10291	6.83e-26
PGEN_.00g000170::Scaffold_01:198658-198945	lcl|NC_047560.1_prot_XP_034322406.1_8351	8.97e-22
PGEN_.00g000180::Scaffold_01:199108-207581	lcl|NC_047563.1_prot_XP_034331445.1_27775	1.80e-22
PGEN_.00g000190::Scaffold_01:207756-208058	lcl|NC_047567.1_prot_XP_034309416.1_49658	7.01e-34
PGEN_.00g000200::Scaffold_01:208188-210053	lcl|NC_047559.1_prot_XP_034319982.1_2868	2.95e-27
PGEN_.00g000210::Scaffold_01:225369-238796	lcl|NC_047561.1_prot_XP_011420961.2_11348	6.81e-14
PGEN_.00g000220::Scaffold_01:295582-296213	lcl|NW_022994886.1_prot_XP_034317106.1_61422	1.91e-04
PGEN_.00g000230::Scaffold_01:311069-315793	lcl|NC_047562.1_prot_XP_011434624.1_22648	1.95e-17
PGEN_.00g000240::Scaffold_01:326245-329049	lcl|NC_047562.1_prot_XP_011429310.2_22769	0.0
PGEN_.00g000250::Scaffold_01:343914-344213	lcl|NC_047559.1_prot_XP_034319982.1_2868	1.59e-26
PGEN_.00g000260::Scaffold_01:344343-344645	lcl|NC_047560.1_prot_XP_019925440.2_8090	3.88e-33
PGEN_.00g000270::Scaffold_01:344820-379444	lcl|NC_047565.1_prot_XP_034301456.1_43412	5.05e-45
PGEN_.00g000280::Scaffold_01:402378-436712	lcl|NC_047564.1_prot_XP_034336499.1_32829	4.53e-14
PGEN_.00g000300::Scaffold_01:503707-557915	lcl|NC_047564.1_prot_XP_034336526.1_32848	3.74e-20
PGEN_.00g000310::Scaffold_01:563507-564382	lcl|NC_047562.1_prot_XP_034327614.1_20005	4.48e-15
PGEN_.00g000320::Scaffold_01:571666-599482	lcl|NC_047568.1_prot_XP_034312632.1_56486	2.15e-09
PGEN_.00g000330::Scaffold_01:610746-611273	lcl|NC_047568.1_prot_XP_034311382.1_54609	0.71
PGEN_.00g000340::Scaffold_01:612875-639118	lcl|NC_047562.1_prot_XP_034330512.1_20013	8.31e-06
PGEN_.00g000350::Scaffold_01:651708-652814	lcl|NC_047566.1_prot_XP_034307331.1_45908	0.13
PGEN_.00g000360::Scaffold_01:664411-665104	lcl|NC_047564.1_prot_XP_011443641.2_32770	2.2
PGEN_.00g000370::Scaffold_01:668292-668636	lcl|NC_047565.1_prot_XP_034300663.1_44298	1.6
PGEN_.00g000380::Scaffold_01:691023-698310	lcl|NC_047563.1_prot_XP_011455127.2_25823	4.46e-14
PGEN_.00g000390::Scaffold_01:717161-743048	lcl|NC_047561.1_prot_XP_011425870.2_14716	4.37e-05
PGEN_.00g000400::Scaffold_01:772210-774393	lcl|NC_047565.1_prot_XP_034301731.1_40809	7.19e-32
PGEN_.00g000410::Scaffold_01:781010-783193	lcl|NC_047565.1_prot_XP_034301731.1_40809	7.06e-32
PGEN_.00g000420::Scaffold_01:812355-819404	lcl|NC_047561.1_prot_XP_011425870.2_14716	1.11e-05
PGEN_.00g000430::Scaffold_01:838769-839182	lcl|NC_047559.1_prot_XP_019918564.2_6646	3.15e-14
PGEN_.00g000440::Scaffold_01:868194-911401	lcl|NC_047568.1_prot_XP_034311475.1_52858	6.05e-11
PGEN_.00g000450::Scaffold_01:912369-922837	lcl|NC_047568.1_prot_XP_034311476.1_52859	2.21e-20
PGEN_.00g000460::Scaffold_01:936602-978401	lcl|NC_047568.1_prot_XP_011446688.2_52863	7.01e-14
PGEN_.00g000480::Scaffold_01:1018280-1021447	lcl|NC_047559.1_prot_XP_034323282.1_3555	1.21e-04
PGEN_.00g000490::Scaffold_01:1042400-1066675	lcl|NC_047568.1_prot_XP_011413778.2_56650	2.13e-19
PGEN_.00g000500::Scaffold_01:1071310-1071795	lcl|NC_047562.1_prot_XP_011429724.2_19323	1.2
PGEN_.00g000510::Scaffold_01:1094769-1105337	lcl|NC_047568.1_prot_XP_011449267.2_53576	2.05e-15
PGEN_.00g000520::Scaffold_01:1105662-1112517	lcl|NC_047568.1_prot_XP_034314094.1_57295	1.33e-36
PGEN_.00g000530::Scaffold_01:1119467-1128894	lcl|NC_047568.1_prot_XP_011415782.1_57519	2.95e-21
PGEN_.00g000540::Scaffold_01:1129780-1201223	lcl|NC_047568.1_prot_XP_034314039.1_57203	2.35e-09
