	Row.names	T8_LG_p_val	T8_LG_avg_logFC	T8_LG_pct.1	T8_LG_pct.2	T8_LG_p_val_adj	keggList..spu..	ID
17224	LOC575449	7.40E-50	2.272544993	0.957	0.102	1.62E-45	late histone H2A.2.1	spu:575449
5490	LOC105440219	1.47E-13	2.118795894	0.609	0.142	3.21E-09	"histone H2B.2, embryonic"	spu:105440219
19325	LOC579293	4.42E-19	1.91500319	1	0.463	9.65E-15	"histone H3, embryonic"	spu:579293
16581	LOC373342	2.30E-12	1.859131269	0.783	0.3	5.01E-08	"histone H1, early embryonic"	spu:373342
21148	LOC582810	6.72E-27	1.773794688	1	0.231	1.47E-22	uncharacterized protein LOC582810 isoform X1	spu:582810
3364	LOC100893240	6.74E-19	1.608730297	0.783	0.184	1.47E-14	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240
21374	LOC583286	2.85E-16	1.60738229	0.87	0.301	6.21E-12	CTD small phosphatase-like protein 2 isoform X1	spu:583286
4435	LOC105437610	1.27E-09	1.535731626	0.478	0.119	2.78E-05	"histone H2B.2, embryonic-like"	spu:105437610
20447	LOC581409	5.17E-17	1.517113445	0.957	0.357	1.13E-12	nucleolar RNA helicase 2	spu:581409
25311	LOC592537	1.77E-17	1.498554963	0.826	0.225	3.86E-13	macoilin	spu:592537
4979	LOC105438992	8.71E-17	1.453598199	0.565	0.096	1.90E-12	protein maelstrom homolog	spu:105438992
22403	LOC585718	0	1.446180938	0.609	0.004	0	uncharacterized protein LOC585718 isoform X1	spu:585718
300	LOC100888193	1.60E-13	1.435608029	0.826	0.302	3.50E-09	uncharacterized protein LOC100888193	spu:100888193
5636	LOC105440594	2.40E-10	1.368499912	0.652	0.209	5.23E-06	NA	NA
18365	LOC577531	2.71E-13	1.361498689	0.913	0.481	5.92E-09	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531
25845	LOC593799	4.33E-14	1.3490612	1	0.497	9.44E-10	protein CDV3 homolog	spu:593799
