LOC109621113 lcl|NC_047559.1_prot_XP_034319074.1_1
LOC117687066 lcl|NC_047559.1_prot_XP_034319086.1_2
LOC117689737 lcl|NC_047559.1_prot_XP_034327644.1_3
LOC117687025 lcl|NC_047559.1_prot_XP_034318966.1_4
LOC105333279 lcl|NC_047559.1_prot_XP_034318957.1_5
LOC105321471 lcl|NC_047559.1_prot_XP_034319098.1_6
LOC105321472 lcl|NC_047559.1_prot_XP_034320107.1_7
LOC117687070 lcl|NC_047559.1_prot_XP_034319106.1_8
LOC105344774 lcl|NC_047559.1_prot_XP_034337690.1_9
LOC117687074 lcl|NC_047559.1_prot_XP_034319115.1_10
LOC117682936 lcl|NC_047559.1_prot_XP_034307473.1_11
LOC105336148 lcl|NC_047559.1_prot_XP_019925938.2_12
LOC105321192 lcl|NC_047559.1_prot_XP_011417736.3_13
LOC105346550 lcl|NC_047559.1_prot_XP_011453478.2_14
LOC105346550 lcl|NC_047559.1_prot_XP_034312778.1_15
LOC105346550 lcl|NC_047559.1_prot_XP_011453479.2_16
LOC117684471 lcl|NC_047559.1_prot_XP_034312813.1_17
LOC117684472 lcl|NC_047559.1_prot_XP_034312820.1_18
LOC105333180 lcl|NC_047559.1_prot_XP_034312826.1_19
LOC105321195 lcl|NC_047559.1_prot_XP_011417740.2_20
LOC105321195 lcl|NC_047559.1_prot_XP_019920026.2_21
LOC105321205 lcl|NC_047559.1_prot_XP_011417762.2_22
LOC105321194 lcl|NC_047559.1_prot_XP_011417739.2_23
LOC105321193 lcl|NC_047559.1_prot_XP_011417737.2_24
LOC105321193 lcl|NC_047559.1_prot_XP_034312840.1_25
LOC105321193 lcl|NC_047559.1_prot_XP_011417738.2_26
LOC105321197 lcl|NC_047559.1_prot_XP_011417742.1_27
LOC105321199 lcl|NC_047559.1_prot_XP_019920029.2_28
LOC105321199 lcl|NC_047559.1_prot_XP_019920027.2_29
LOC105321198 lcl|NC_047559.1_prot_XP_034312889.1_30
LOC105321198 lcl|NC_047559.1_prot_XP_034312904.1_31
LOC105321198 lcl|NC_047559.1_prot_XP_034312898.1_32
LOC105321198 lcl|NC_047559.1_prot_XP_034312891.1_33
LOC105321198 lcl|NC_047559.1_prot_XP_011417749.2_34
LOC105321198 lcl|NC_047559.1_prot_XP_034312913.1_35
LOC105321198 lcl|NC_047559.1_prot_XP_011417751.2_36
LOC105321198 lcl|NC_047559.1_prot_XP_011417752.2_37
LOC105321198 lcl|NC_047559.1_prot_XP_011417753.2_38
LOC105321198 lcl|NC_047559.1_prot_XP_019920021.2_39
LOC105321198 lcl|NC_047559.1_prot_XP_011417754.2_40
LOC105321201 lcl|NC_047559.1_prot_XP_011417757.2_41
LOC105321201 lcl|NC_047559.1_prot_XP_034312966.1_42
LOC105321202 lcl|NC_047559.1_prot_XP_011417759.2_43
LOC105321203 lcl|NC_047559.1_prot_XP_034312984.1_44
LOC105321203 lcl|NC_047559.1_prot_XP_034313009.1_45
LOC105321203 lcl|NC_047559.1_prot_XP_034312998.1_46
