	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID
25631	LOC593337	4.59E-72	2.186351662	0.747	0.272	1.00E-67	NA	NA
16557	LOC373342	2.13E-68	2.111133579	0.962	0.838	4.64E-64	"histone H1, early embryonic"	spu:373342
17199	LOC575449	6.47E-103	2.070981748	0.975	0.468	1.41E-98	late histone H2A.2.1	spu:575449
19549	LOC579744	0	1.985155155	0.778	0.039	0	LOW QUALITY PROTEIN: histone H1.1	spu:579744
3666	LOC100893744	2.43E-52	1.756027359	0.677	0.283	5.31E-48	NA	NA
21121	LOC582810	7.31E-102	1.68933354	0.772	0.196	1.59E-97	uncharacterized protein LOC582810 isoform X1	spu:582810
21348	LOC583286	1.17E-81	1.644249463	0.842	0.339	2.55E-77	CTD small phosphatase-like protein 2 isoform X1	spu:583286
24350	LOC590448	1.14E-103	1.576894644	0.525	0.073	2.48E-99	uncharacterized protein LOC590448	spu:590448
18726	LOC578215	3.08E-69	1.507895417	0.684	0.212	6.72E-65	G kinase-anchoring protein 1	spu:578215
24685	LOC591266	8.62E-70	1.497711592	0.791	0.299	1.88E-65	cystathionine beta-synthase	spu:591266
22729	LOC586560	1.37E-58	1.493997771	0.816	0.451	3.00E-54	uncharacterized protein LOC586560	spu:586560
16584	LOC373382	4.83E-54	1.393765748	0.835	0.506	1.05E-49	mitochondrial ATP synthase alpha subunit precursor	spu:373382
27781	LOC763214	1.07E-50	1.371868994	0.677	0.275	2.33E-46	NA	NA
17928	LOC576796	1.16E-41	1.296127842	0.804	0.563	2.52E-37	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796
235	LOC100888091	1.10E-232	1.291262498	0.278	0.007	2.40E-228	uncharacterized protein LOC100888091 isoform X1	spu:100888091
18339	LOC577531	4.63E-37	1.231183274	0.709	0.406	1.01E-32	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531
18917	LOC578567	3.96E-59	1.208338504	0.949	0.662	8.65E-55	transcriptional regulator ATRX homolog isoform X1	spu:578567
25974	LOC594218	3.35E-38	1.200042814	0.532	0.197	7.31E-34	nuclear speckle splicing regulatory protein 1	spu:594218
20421	LOC581409	8.92E-41	1.19174777	0.766	0.429	1.95E-36	nucleolar RNA helicase 2	spu:581409
5175	LOC105439514	1.62E-133	1.191043806	0.437	0.039	3.54E-129	uncharacterized protein CG13380-like	spu:105439514
20932	LOC582369	1.31E-45	1.190562492	0.57	0.199	2.86E-41	double-stranded RNA-binding protein Staufen homolog 2 isoform X1	spu:582369
17935	LOC576803	1.14E-58	1.182274774	0.943	0.772	2.50E-54	60S ribosomal protein L22	spu:576803
19185	LOC579087	8.61E-67	1.167690758	0.449	0.082	1.88E-62	teneurin-3 isoform X1	spu:579087
20904	LOC582325	1.08E-52	1.167552341	0.886	0.61	2.35E-48	ADP-ribosylation factor 1	spu:582325
18368	LOC577596	4.61E-56	1.162223288	0.994	0.943	1.01E-51	ribonucleoside-diphosphate reductase subunit M2	spu:577596
22377	LOC585718	1.78E-33	1.147125698	0.266	0.053	3.89E-29	uncharacterized protein LOC585718 isoform X1	spu:585718
16568	LOC373354	9.58E-24	1.143116647	0.785	0.67	2.09E-19	"histone H1-beta, late embryonic"	spu:373354
4356	LOC105437488	2.33E-38	1.139706973	0.709	0.39	5.08E-34	uncharacterized protein LOC105437488	spu:105437488
16696	LOC548622	1.01E-47	1.124224986	0.867	0.607	2.21E-43	ATP synthase beta subunit	spu:548622
6444	LOC105442790	2.59E-46	1.097153765	0.399	0.091	5.66E-42	NA	NA
6382	LOC105442620	1.09E-35	1.078401257	0.316	0.072	2.37E-31	NA	NA
23605	LOC588708	5.15E-67	1.054482968	0.342	0.047	1.12E-62	dnaJ homolog subfamily C member 4	spu:588708
17346	LOC575732	7.83E-48	1.054231727	0.911	0.72	1.71E-43	"selenide, water dikinase"	spu:575732
17493	LOC576005	4.58E-39	1.034447162	0.88	0.703	1.00E-34	voltage-dependent anion-selective channel protein 2	spu:576005
19664	LOC579948	3.73E-27	1.029815245	0.462	0.183	8.14E-23	ubinuclein-2	spu:579948
25285	LOC592550	3.10E-25	1.029050666	0.665	0.438	6.76E-21	WD repeat-containing protein 43	spu:592550
4417	LOC105437610	0.000223168	1.024526239	0.563	0.545	1	"histone H2B.2, embryonic-like"	spu:105437610
17290	LOC575632	2.25E-36	1.024461609	0.576	0.23	4.90E-32	ribosome biogenesis regulatory protein homolog	spu:575632
4960	LOC105438992	5.66E-47	1.015419927	0.367	0.076	1.24E-42	protein maelstrom homolog	spu:105438992
20521	LOC581608	1.33E-40	1.0143449	0.785	0.481	2.90E-36	NA	NA
294	LOC100888193	8.94E-19	1.004893706	0.601	0.431	1.95E-14	uncharacterized protein LOC100888193	spu:100888193
